# Label,  Recall,  Precision
1.0000e+00,7.3723e-01,7.0139e-01
2.0000e+00,6.7273e-01,6.6787e-01
3.0000e+00,7.3993e-01,6.6013e-01
4.0000e+00,7.0696e-01,6.1859e-01
5.0000e+00,6.0727e-01,7.8404e-01
6.0000e+00,8.6545e-01,8.5305e-01
7.0000e+00,7.8545e-01,7.1287e-01
8.0000e+00,9.0110e-01,9.0110e-01
9.0000e+00,9.0110e-01,9.4253e-01
1.0000e+01,7.3993e-01,6.6667e-01
1.1000e+01,5.1282e-01,6.2222e-01
1.2000e+01,4.9632e-01,6.4593e-01
1.3000e+01,8.3395e-01,7.0405e-01
1.4000e+01,9.2364e-01,7.6737e-01
1.5000e+01,8.8768e-01,7.1429e-01
1.6000e+01,4.2491e-01,6.3043e-01
1.7000e+01,5.7299e-01,5.3584e-01
1.8000e+01,8.3516e-01,6.9091e-01
1.9000e+01,8.4307e-01,7.9110e-01
2.0000e+01,9.2279e-01,8.3389e-01
2.1000e+01,9.5238e-01,7.4074e-01
2.2000e+01,8.9781e-01,7.9100e-01
2.3000e+01,7.4818e-01,8.2329e-01
2.4000e+01,9.4203e-01,7.4286e-01
2.5000e+01,5.8029e-01,6.9737e-01
2.6000e+01,8.5091e-01,7.9054e-01
2.7000e+01,9.0217e-01,8.8929e-01
2.8000e+01,8.0000e-01,8.0000e-01
2.9000e+01,6.4727e-01,6.7170e-01
3.0000e+01,7.4909e-01,7.3835e-01
3.1000e+01,7.0652e-01,7.8000e-01
3.2000e+01,7.4638e-01,7.5735e-01
3.3000e+01,7.3188e-01,8.7826e-01
3.4000e+01,5.5797e-01,6.9683e-01
3.5000e+01,8.7319e-01,8.4561e-01
3.6000e+01,8.5091e-01,9.2126e-01
3.7000e+01,7.8623e-01,7.2575e-01
3.8000e+01,7.3551e-01,7.8682e-01
3.9000e+01,8.2609e-01,8.1429e-01
4.0000e+01,8.3696e-01,9.0945e-01
4.1000e+01,6.3406e-01,7.4468e-01
4.2000e+01,7.5362e-01,8.0309e-01
4.3000e+01,9.0909e-01,9.4697e-01
4.4000e+01,6.3043e-01,7.3729e-01
4.5000e+01,6.9928e-01,7.5391e-01
4.6000e+01,7.5000e-01,8.6250e-01
4.7000e+01,7.8623e-01,8.4109e-01
4.8000e+01,7.2000e-01,8.3898e-01
4.9000e+01,5.4909e-01,7.3659e-01
5.0000e+01,7.1533e-01,7.3134e-01
5.1000e+01,8.2971e-01,9.0873e-01
5.2000e+01,7.5725e-01,7.6838e-01
5.3000e+01,7.7536e-01,7.5618e-01
5.4000e+01,7.1739e-01,7.7953e-01
5.5000e+01,9.4891e-01,8.0247e-01
5.6000e+01,8.2971e-01,6.5994e-01
5.7000e+01,7.0545e-01,6.4452e-01
5.8000e+01,7.7536e-01,8.4585e-01
5.9000e+01,9.4505e-01,9.0210e-01
6.0000e+01,9.8188e-01,8.2875e-01
