# Label,  Recall,  Precision
1.0000e+00,8.1013e-01,8.9510e-01
2.0000e+00,8.3861e-01,8.5484e-01
3.0000e+00,8.3861e-01,8.2812e-01
4.0000e+00,8.9873e-01,6.9608e-01
5.0000e+00,8.4494e-01,8.5852e-01
6.0000e+00,9.3038e-01,9.3333e-01
7.0000e+00,9.4937e-01,8.4507e-01
8.0000e+00,9.9048e-01,9.4260e-01
9.0000e+00,9.8734e-01,9.7806e-01
1.0000e+01,7.3734e-01,6.3488e-01
1.1000e+01,6.5397e-01,7.1777e-01
1.2000e+01,7.4921e-01,7.5884e-01
1.3000e+01,9.1456e-01,8.6269e-01
1.4000e+01,9.7152e-01,9.1916e-01
1.5000e+01,9.6519e-01,9.0237e-01
1.6000e+01,8.4762e-01,7.1200e-01
1.7000e+01,6.7089e-01,7.9104e-01
1.8000e+01,8.1013e-01,8.6780e-01
1.9000e+01,8.9241e-01,8.4431e-01
2.0000e+01,9.8413e-01,9.4512e-01
2.1000e+01,9.8101e-01,9.4801e-01
2.2000e+01,9.7152e-01,9.5046e-01
2.3000e+01,8.6076e-01,8.8312e-01
2.4000e+01,9.3987e-01,9.3691e-01
2.5000e+01,8.6709e-01,8.1306e-01
2.6000e+01,9.2722e-01,9.8986e-01
2.7000e+01,9.5570e-01,9.7735e-01
2.8000e+01,8.9873e-01,8.3529e-01
2.9000e+01,4.8418e-01,8.8439e-01
3.0000e+01,9.4304e-01,8.1644e-01
3.1000e+01,8.3492e-01,7.8743e-01
3.2000e+01,8.4810e-01,8.4810e-01
3.3000e+01,9.0190e-01,8.7692e-01
3.4000e+01,5.4747e-01,6.9200e-01
3.5000e+01,9.3671e-01,9.1925e-01
3.6000e+01,9.9051e-01,9.0462e-01
3.7000e+01,9.3038e-01,7.9459e-01
3.8000e+01,7.5316e-01,8.8806e-01
3.9000e+01,5.9810e-01,9.7423e-01
4.0000e+01,8.3013e-01,9.4526e-01
4.1000e+01,8.3228e-01,8.5668e-01
4.2000e+01,9.8418e-01,8.9625e-01
4.3000e+01,9.7152e-01,9.9675e-01
4.4000e+01,7.5633e-01,8.2414e-01
4.5000e+01,8.6076e-01,8.9180e-01
4.6000e+01,8.7342e-01,9.0492e-01
4.7000e+01,8.8924e-01,8.7539e-01
4.8000e+01,8.9557e-01,8.5498e-01
4.9000e+01,8.4177e-01,8.0851e-01
5.0000e+01,8.4345e-01,8.0000e-01
5.1000e+01,9.1401e-01,9.6309e-01
5.2000e+01,8.7302e-01,8.3587e-01
5.3000e+01,8.4177e-01,8.4984e-01
5.4000e+01,8.4076e-01,8.9796e-01
5.5000e+01,9.7087e-01,9.3458e-01
5.6000e+01,8.3861e-01,8.9527e-01
5.7000e+01,7.5949e-01,8.1633e-01
5.8000e+01,9.3987e-01,8.6589e-01
5.9000e+01,9.5886e-01,9.6497e-01
6.0000e+01,9.9361e-01,9.2560e-01
