# Label,  Recall,  Precision
1.0000e+00,8.9557e-01,9.0997e-01
2.0000e+00,8.4494e-01,8.2154e-01
3.0000e+00,8.8291e-01,8.9423e-01
4.0000e+00,8.6392e-01,9.6127e-01
5.0000e+00,9.3987e-01,8.5591e-01
6.0000e+00,8.9873e-01,9.6928e-01
7.0000e+00,9.3987e-01,9.6117e-01
8.0000e+00,9.6190e-01,9.9020e-01
9.0000e+00,9.7785e-01,9.8095e-01
1.0000e+01,7.0253e-01,8.1618e-01
1.1000e+01,5.3968e-01,6.9672e-01
1.2000e+01,4.6667e-01,5.3650e-01
1.3000e+01,8.4177e-01,9.3007e-01
1.4000e+01,9.5886e-01,9.9671e-01
1.5000e+01,9.3354e-01,9.7360e-01
1.6000e+01,6.9206e-01,9.5614e-01
1.7000e+01,9.1456e-01,7.4485e-01
1.8000e+01,8.8924e-01,9.0354e-01
1.9000e+01,9.4620e-01,8.8724e-01
2.0000e+01,9.7143e-01,9.5925e-01
2.1000e+01,9.8418e-01,9.5988e-01
2.2000e+01,9.7152e-01,9.6845e-01
2.3000e+01,8.6076e-01,8.9474e-01
2.4000e+01,9.5570e-01,9.4969e-01
2.5000e+01,8.5127e-01,8.7622e-01
2.6000e+01,9.9051e-01,1.0000e+00
2.7000e+01,9.9367e-01,9.9683e-01
2.8000e+01,9.0823e-01,8.5417e-01
2.9000e+01,8.0380e-01,5.9906e-01
3.0000e+01,6.2975e-01,6.6779e-01
3.1000e+01,8.5714e-01,8.4639e-01
3.2000e+01,8.3861e-01,8.9226e-01
3.3000e+01,9.3354e-01,8.7021e-01
3.4000e+01,8.1013e-01,8.0757e-01
3.5000e+01,9.7468e-01,8.3469e-01
3.6000e+01,9.8418e-01,8.4054e-01
3.7000e+01,8.9557e-01,8.4226e-01
3.8000e+01,9.5570e-01,9.0149e-01
3.9000e+01,9.3987e-01,8.3898e-01
4.0000e+01,9.1026e-01,9.4040e-01
4.1000e+01,8.7342e-01,8.3384e-01
4.2000e+01,9.4304e-01,9.7068e-01
4.3000e+01,1.0000e+00,1.0000e+00
4.4000e+01,7.8797e-01,8.4983e-01
4.5000e+01,8.7025e-01,8.2335e-01
4.6000e+01,8.0696e-01,9.2727e-01
4.7000e+01,8.7975e-01,8.0580e-01
4.8000e+01,8.9241e-01,9.1558e-01
4.9000e+01,9.1139e-01,8.5970e-01
5.0000e+01,8.9137e-01,9.0879e-01
5.1000e+01,9.4268e-01,9.7049e-01
5.2000e+01,9.8095e-01,9.2239e-01
5.3000e+01,8.1329e-01,8.7415e-01
5.4000e+01,9.2675e-01,8.3381e-01
5.5000e+01,8.9644e-01,9.7535e-01
5.6000e+01,9.2089e-01,9.5098e-01
5.7000e+01,9.2405e-01,9.3891e-01
5.8000e+01,9.4620e-01,9.5833e-01
5.9000e+01,9.5886e-01,9.9020e-01
6.0000e+01,9.7764e-01,9.6530e-01
