# Label,  Recall,  Precision
1.0000e+00,8.6567e-01,6.9461e-01
2.0000e+00,9.0260e-01,7.6374e-01
3.0000e+00,9.3706e-01,8.6452e-01
4.0000e+00,7.9739e-01,9.1729e-01
5.0000e+00,9.6429e-01,9.5070e-01
6.0000e+00,5.3793e-01,6.9027e-01
7.0000e+00,6.7832e-01,9.3269e-01
8.0000e+00,9.4268e-01,8.6550e-01
9.0000e+00,6.5068e-01,6.9853e-01
1.0000e+01,9.2254e-01,9.2908e-01
1.1000e+01,9.8496e-01,9.6324e-01
1.2000e+01,9.1781e-01,8.8158e-01
1.3000e+01,8.3803e-01,8.6861e-01
1.4000e+01,9.2958e-01,8.2500e-01
1.5000e+01,8.3562e-01,9.3846e-01
1.6000e+01,9.7183e-01,9.2000e-01
1.7000e+01,8.7879e-01,8.5294e-01
1.8000e+01,9.5890e-01,9.0909e-01
1.9000e+01,9.3985e-01,8.5616e-01
2.0000e+01,8.6842e-01,9.0000e-01
2.1000e+01,8.5915e-01,8.2432e-01
2.2000e+01,9.0058e-01,7.5490e-01
2.3000e+01,5.5030e-01,8.8571e-01
2.4000e+01,8.4722e-01,8.9706e-01
2.5000e+01,7.9433e-01,7.3203e-01
2.6000e+01,8.3333e-01,8.3333e-01
2.7000e+01,7.9167e-01,9.0476e-01
2.8000e+01,9.5775e-01,7.2727e-01
2.9000e+01,6.9481e-01,6.7722e-01
3.0000e+01,9.0909e-01,7.4713e-01
3.1000e+01,6.4493e-01,5.4938e-01
3.2000e+01,7.5000e-01,8.6066e-01
3.3000e+01,7.8142e-01,8.9937e-01
3.4000e+01,9.8907e-01,7.6695e-01
3.5000e+01,9.4030e-01,8.2353e-01
3.6000e+01,6.8750e-01,8.7611e-01
3.7000e+01,9.5205e-01,8.7421e-01
3.8000e+01,6.0131e-01,7.3307e-01
3.9000e+01,7.5540e-01,9.2105e-01
4.0000e+01,7.5540e-01,6.6456e-01
4.1000e+01,7.4820e-01,8.8889e-01
4.2000e+01,9.0769e-01,8.4286e-01
4.3000e+01,8.5000e-01,8.0405e-01
4.4000e+01,8.4028e-01,8.7681e-01
4.5000e+01,7.8014e-01,9.4017e-01
4.6000e+01,6.3636e-01,9.1000e-01
4.7000e+01,9.1489e-01,8.2692e-01
4.8000e+01,9.8026e-01,9.0303e-01
4.9000e+01,7.2222e-01,8.7395e-01
5.0000e+01,9.1667e-01,8.5556e-01
5.1000e+01,9.2157e-01,7.7473e-01
